# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.08359040 0.13185130 0.22837310 
0.021733  2.819321 
0.022569  2.815057 
0.023405  2.810625 
0.024241  2.806024 
0.025077  2.801254 
0.025913  2.796315 
0.026749  2.791205 
0.027585  2.785924 
0.028421  2.780472 
0.029257  2.774848 
0.030093  2.769052 
0.030928  2.763083 
0.031764  2.756941 
0.032600  2.750625 
0.033436  2.744135 
0.034272  2.737470 
0.035108  2.730631 
0.035944  2.723617 
0.036780  2.716427 
0.037616  2.709062 
0.038452  2.701522 
0.039288  2.693806 
0.040123  2.685914 
0.040959  2.677846 
0.041795  2.669603 
0.042631  2.661184 
0.043467  2.652589 
0.044303  2.643819 
0.045139  2.634874 
0.045975  2.625754 
0.046811  2.616459 
0.047647  2.606990 
0.048482  2.597347 
0.049318  2.587531 
0.050154  2.577543 
0.050990  2.567382 
0.051826  2.557049 
0.052662  2.546546 
0.053498  2.535873 
0.054334  2.525030 
0.055170  2.514018 
0.056005  2.502839 
0.056841  2.491493 
0.057677  2.479982 
0.058513  2.468305 
0.059349  2.460345 
0.060185  2.444462 
0.061021  2.432298 
0.061857  2.419973 
0.062693  2.407489 
0.063529  2.394847 
0.064365  2.382048 
0.065200  2.369094 
0.066036  2.355986 
0.066872  2.342725 
0.067708  2.329313 
0.068544  2.315751 
0.069380  2.302040 
0.070216  2.288182 
0.071052  2.274179 
0.071888  2.260031 
0.072724  2.245740 
0.073559  2.231308 
0.074395  2.216737 
0.075231  2.202027 
0.076067  2.187180 
0.076903  2.172199 
0.077739  2.157083 
0.078575  2.141835 
0.079411  2.126456 
0.080247  2.110948 
0.081083  2.095312 
0.081919  2.079550 
0.082754  2.063663 
0.083590  2.047652 

0.083590  2.047652 
0.084073  2.047737 
0.084556  2.047991 
0.085038  2.048414 
0.085521  2.049006 
0.086003  2.049767 
0.086486  2.050695 
0.086969  2.051791 
0.087451  2.053054 
0.087934  2.054483 
0.088416  2.056078 
0.088899  2.057837 
0.089382  2.059758 
0.089864  2.061842 
0.090347  2.064087 
0.090829  2.066492 
0.091312  2.069054 
0.091795  2.071773 
0.092277  2.074648 
0.092760  2.077675 
0.093243  2.080854 
0.093725  2.084183 
0.094208  2.087659 
0.094690  2.091282 
0.095173  2.095047 
0.095656  2.098955 
0.096138  2.103001 
0.096621  2.107185 
0.097103  2.111503 
0.097586  2.115953 
0.098069  2.120533 
0.098551  2.125240 
0.099034  2.130071 
0.099516  2.135023 
0.099999  2.140095 
0.100482  2.145283 
0.100964  2.150584 
0.101447  2.155995 
0.101930  2.161514 
0.102412  2.167137 
0.102895  2.172861 
0.103377  2.178683 
0.103860  2.184601 
0.104343  2.190610 
0.104825  2.196708 
0.105308  2.202891 
0.105790  2.209157 
0.106273  2.215501 
0.106756  2.221920 
0.107238  2.228412 
0.107721  2.234973 
0.108203  2.241598 
0.108686  2.248286 
0.109169  2.255032 
0.109651  2.261833 
0.110134  2.268685 
0.110617  2.275585 
0.111099  2.282530 
0.111582  2.289516 
0.112064  2.296539 
0.112547  2.303596 
0.113030  2.310683 
0.113512  2.317797 
0.113995  2.324935 
0.114477  2.332092 
0.114960  2.339266 
0.115443  2.346452 
0.115925  2.353648 
0.116408  2.360850 
0.116890  2.368054 
0.117373  2.375258 
0.117856  2.382456 
0.118338  2.389648 
0.118821  2.396828 
0.119303  2.403994 
0.119786  2.411142 
0.120269  2.418267 
0.120751  2.425371 
0.121234  2.432447 
0.121717  2.439493 
0.122199  2.446506 
0.122682  2.453483 
0.123164  2.460421 
0.123647  2.467317 
0.124130  2.474169 
0.124612  2.480973 
0.125095  2.487727 
0.125577  2.494429 
0.126060  2.501077 
0.126543  2.507667 
0.127025  2.514197 
0.127508  2.520666 
0.127990  2.527072 
0.128473  2.533411 
0.128956  2.539684 
0.129438  2.545887 
0.129921  2.552019 
0.130404  2.558078 
0.130886  2.564064 
0.131369  2.569974 
0.131851  2.575808 

0.131851  2.575808 
0.132817  2.552576 
0.133782  2.529239 
0.134747  2.505801 
0.135712  2.482264 
0.136677  2.458631 
0.137643  2.434903 
0.138608  2.411084 
0.139573  2.387175 
0.140538  2.363178 
0.141504  2.339096 
0.142469  2.314930 
0.143434  2.290683 
0.144399  2.299431 
0.145364  2.314785 
0.146330  2.330281 
0.147295  2.345911 
0.148260  2.361669 
0.149225  2.377548 
0.150190  2.393540 
0.151156  2.409639 
0.152121  2.425837 
0.153086  2.442126 
0.154051  2.458500 
0.155017  2.474951 
0.155982  2.491471 
0.156947  2.508054 
0.157912  2.524691 
0.158877  2.541376 
0.159843  2.558100 
0.160808  2.574857 
0.161773  2.591639 
0.162738  2.608437 
0.163704  2.625246 
0.164669  2.642057 
0.165634  2.658863 
0.166599  2.675656 
0.167564  2.692429 
0.168530  2.709175 
0.169495  2.725886 
0.170460  2.742554 
0.171425  2.759172 
0.172391  2.775733 
0.173356  2.792229 
0.174321  2.808652 
0.175286  2.824995 
0.176251  2.835051 
0.177216  2.837040 
0.178182  2.838952 
0.179147  2.840790 
0.180112  2.842555 
0.181077  2.844251 
0.182043  2.845878 
0.183008  2.847439 
0.183973  2.848935 
0.184938  2.850368 
0.185903  2.851740 
0.186869  2.853052 
0.187834  2.854306 
0.188799  2.855504 
0.189764  2.856647 
0.190730  2.857736 
0.191695  2.858774 
0.192660  2.859761 
0.193625  2.860699 
0.194590  2.861589 
0.195556  2.862433 
0.196521  2.863233 
0.197486  2.863989 
0.198451  2.864704 
0.199417  2.865378 
0.200382  2.866013 
0.201347  2.866610 
0.202312  2.867172 
0.203277  2.867698 
0.204243  2.868191 
0.205208  2.868652 
0.206173  2.869083 
0.207138  2.869484 
0.208103  2.869856 
0.209069  2.870202 
0.210034  2.870522 
0.210999  2.870818 
0.211964  2.871091 
0.212930  2.871341 
0.213895  2.871571 
0.214860  2.871780 
0.215825  2.871971 
0.216790  2.872143 
0.217756  2.872298 
0.218721  2.872437 
0.219686  2.872561 
0.220651  2.872669 
0.221617  2.872763 
0.222582  2.872844 
0.223547  2.872911 
0.224512  2.872965 
0.225477  2.873007 
0.226443  2.873037 
0.227408  2.873055 
0.228373  2.873061 


0.000000  2.873061 
0.000836  2.873204 
0.001672  2.873635 
0.002508  2.874353 
0.003344  2.875357 
0.004180  2.876646 
0.005015  2.878218 
0.005851  2.880072 
0.006687  2.882206 
0.007523  2.884619 
0.008359  2.887306 
0.009195  2.890265 
0.010031  2.893494 
0.010867  2.896989 
0.011703  2.900747 
0.012539  2.904762 
0.013374  2.909033 
0.014210  2.913553 
0.015046  2.918319 
0.015882  2.923326 
0.016718  2.928568 
0.017554  2.934042 
0.018390  2.939740 
0.019226  2.945658 
0.020062  2.951790 
0.020898  2.958130 
0.021733  2.964673 
0.022569  2.971411 
