# distance  frequency (bands are separated by blank lines)
# End points of segments: 
#   0.00000000 0.08776990 0.13844380 0.23979180 
0.013166  3.179701 
0.014043  3.177728 
0.014921  3.175620 
0.015799  3.173375 
0.016676  3.170992 
0.017554  3.168470 
0.018432  3.165807 
0.019309  3.163002 
0.020187  3.160052 
0.021065  3.156957 
0.021943  3.153715 
0.022820  3.150323 
0.023698  3.146780 
0.024576  3.143085 
0.025453  3.139235 
0.026331  3.135229 
0.027209  3.131065 
0.028086  3.126740 
0.028964  3.122254 
0.029842  3.117604 
0.030720  3.112789 
0.031597  3.107806 
0.032475  3.102654 
0.033353  3.097332 
0.034230  3.091837 
0.035108  3.086167 
0.035986  3.080321 
0.036863  3.074298 
0.037741  3.068096 
0.038619  3.061712 
0.039496  3.055147 
0.040374  3.048397 
0.041252  3.041462 
0.042130  3.034340 
0.043007  3.027031 
0.043885  3.019532 
0.044763  3.011843 
0.045640  3.003962 
0.046518  2.995888 
0.047396  2.987621 
0.048273  2.979159 
0.049151  2.970502 
0.050029  2.961648 
0.050907  2.952598 
0.051784  2.943350 
0.052662  2.933903 
0.053540  2.924258 
0.054417  2.914414 
0.055295  2.904370 
0.056173  2.894126 
0.057050  2.883682 
0.057928  2.873038 
0.058806  2.862193 
0.059684  2.851148 
0.060561  2.839903 
0.061439  2.828457 
0.062317  2.816812 
0.063194  2.804967 
0.064072  2.792922 
0.064950  2.780679 
0.065827  2.768237 
0.066705  2.755597 
0.067583  2.742759 
0.068460  2.729724 
0.069338  2.716493 
0.070216  2.703067 
0.071094  2.689445 
0.071971  2.675630 
0.072849  2.661621 
0.073727  2.647421 
0.074604  2.633028 
0.075482  2.618446 
0.076360  2.603674 
0.077238  2.588714 
0.078115  2.573566 
0.078993  2.558233 
0.079871  2.542714 
0.080748  2.527011 
0.081626  2.511126 
0.082504  2.495058 
0.083381  2.478811 
0.084259  2.462384 
0.085137  2.445778 
0.086014  2.428996 
0.086892  2.412039 
0.087770  2.394907 

0.087770  2.394907 
0.088277  2.395002 
0.088783  2.395288 
0.089290  2.395765 
0.089797  2.396432 
0.090304  2.397288 
0.090810  2.398334 
0.091317  2.399569 
0.091824  2.400992 
0.092330  2.402601 
0.092837  2.404397 
0.093344  2.406378 
0.093851  2.408543 
0.094357  2.410891 
0.094864  2.413419 
0.095371  2.416128 
0.095878  2.419014 
0.096384  2.422077 
0.096891  2.425315 
0.097398  2.428725 
0.097905  2.432307 
0.098411  2.436056 
0.098918  2.439973 
0.099425  2.444053 
0.099932  2.448295 
0.100438  2.452697 
0.100945  2.457256 
0.101452  2.461969 
0.101959  2.466833 
0.102465  2.471846 
0.102972  2.477006 
0.103479  2.482308 
0.103985  2.487750 
0.104492  2.493330 
0.104999  2.499044 
0.105506  2.504888 
0.106012  2.510860 
0.106519  2.516956 
0.107026  2.523173 
0.107533  2.529507 
0.108039  2.535956 
0.108546  2.542515 
0.109053  2.549180 
0.109560  2.555950 
0.110066  2.562819 
0.110573  2.569784 
0.111080  2.576841 
0.111587  2.583987 
0.112093  2.591218 
0.112600  2.598529 
0.113107  2.605918 
0.113614  2.613380 
0.114120  2.620911 
0.114627  2.628507 
0.115134  2.636165 
0.115641  2.643879 
0.116147  2.651648 
0.116654  2.659465 
0.117161  2.667328 
0.117667  2.675232 
0.118174  2.683173 
0.118681  2.691147 
0.119188  2.699150 
0.119694  2.707178 
0.120201  2.715226 
0.120708  2.723292 
0.121215  2.731370 
0.121721  2.739456 
0.122228  2.747547 
0.122735  2.755639 
0.123242  2.763727 
0.123748  2.771806 
0.124255  2.779875 
0.124762  2.787928 
0.125269  2.795961 
0.125775  2.803971 
0.126282  2.811953 
0.126789  2.819905 
0.127296  2.827821 
0.127802  2.835699 
0.128309  2.843534 
0.128816  2.851323 
0.129323  2.859062 
0.129829  2.866749 
0.130336  2.874378 
0.130843  2.881948 
0.131350  2.889455 
0.131856  2.896895 
0.132363  2.904266 
0.132870  2.911564 
0.133376  2.918787 
0.133883  2.925931 
0.134390  2.932995 
0.134897  2.939975 
0.135403  2.946869 
0.135910  2.953674 
0.136417  2.960390 
0.136924  2.967012 
0.137430  2.973540 
0.137937  2.979971 
0.138444  2.986304 

0.138444  2.986304 
0.139457  2.961099 
0.140471  2.935753 
0.141484  2.910268 
0.142498  2.884646 
0.143511  2.858891 
0.144525  2.833002 
0.145538  2.806983 
0.146552  2.780835 
0.147565  2.754560 
0.148579  2.728160 
0.149592  2.701636 
0.150606  2.674989 
0.151619  2.648222 
0.152633  2.621336 
0.153646  2.602058 
0.154660  2.621241 
0.155673  2.640603 
0.156687  2.660135 
0.157700  2.679831 
0.158713  2.699680 
0.159727  2.719675 
0.160740  2.739808 
0.161754  2.760069 
0.162767  2.780451 
0.163781  2.800946 
0.164794  2.821544 
0.165808  2.842236 
0.166821  2.863016 
0.167835  2.883872 
0.168848  2.904798 
0.169862  2.925785 
0.170875  2.946823 
0.171889  2.967904 
0.172902  2.989019 
0.173916  3.010158 
0.174929  3.031316 
0.175943  3.052481 
0.176956  3.073645 
0.177970  3.094800 
0.178983  3.115936 
0.179997  3.137044 
0.181010  3.158115 
0.182024  3.179140 
0.183037  3.200109 
0.184050  3.212357 
0.185064  3.212887 
0.186077  3.213332 
0.187091  3.213697 
0.188104  3.213985 
0.189118  3.214199 
0.190131  3.214342 
0.191145  3.214419 
0.192158  3.214431 
0.193172  3.214382 
0.194185  3.214274 
0.195199  3.214112 
0.196212  3.213897 
0.197226  3.213633 
0.198239  3.213323 
0.199253  3.212969 
0.200266  3.212574 
0.201280  3.212141 
0.202293  3.211672 
0.203307  3.211172 
0.204320  3.210642 
0.205334  3.210085 
0.206347  3.209504 
0.207360  3.208903 
0.208374  3.208283 
0.209387  3.207647 
0.210401  3.206999 
0.211414  3.206342 
0.212428  3.205677 
0.213441  3.205008 
0.214455  3.204337 
0.215468  3.203668 
0.216482  3.203002 
0.217495  3.202343 
0.218509  3.201692 
0.219522  3.201054 
0.220536  3.200429 
0.221549  3.199820 
0.222563  3.199230 
0.223576  3.198661 
0.224590  3.198115 
0.225603  3.197595 
0.226616  3.197101 
0.227630  3.196636 
0.228643  3.196201 
0.229657  3.195799 
0.230671  3.195430 
0.231684  3.195097 
0.232697  3.194799 
0.233711  3.194539 
0.234724  3.194318 
0.235738  3.194136 
0.236751  3.193993 
0.237765  3.193891 
0.238778  3.193829 
0.239792  3.193809 


0.000000  3.193809 
0.000878  3.193979 
0.001755  3.194488 
0.002633  3.195336 
0.003511  3.196522 
0.004389  3.198044 
0.005266  3.199900 
0.006144  3.202088 
0.007022  3.204606 
0.007899  3.207449 
0.008777  3.210615 
0.009655  3.214100 
0.010532  3.217899 
0.011410  3.222007 
0.012288  3.226419 
0.013166  3.231131 
0.014043  3.236136 
0.014921  3.241428 
0.015799  3.247001 
0.016676  3.252847 
0.017554  3.258961 
0.018432  3.265335 
0.019309  3.271961 
0.020187  3.278832 
